Resource name	mean	stdev	variance	minimum	maximum	sum	count	
Delayed tasks;0;0;0;0;0;0;1;
Failed requests (tasks);0;0;0;0;0;0;1;
Makespan;57,600;0;0;57,600;57,600;57,600;1;
Resources queue length;0.811;0;0;0.811;0.811;0.811;1;
Resources total load;0;0;0;0;0;0;1;
Energy usage;12,822.222;801.389;642,224.151;12,020.833;13,623.611;51,288.889;4;
Task completion time;23,538.462;19,546.14;382,051,597.633;7,200;57,600;306,000;13;
Task execution time;13,015.385;7,274.174;52,913,609.467;7,200;28,800;169,200;13;
Task start time;0;0;0;0;0;0;13;
Task flow time;13,015.385;7,274.174;52,913,609.467;7,200;28,800;169,200;13;
Task waiting time;0;0;0;0;0;0;13;
Task lateness;0;0;0;0;0;0;13;
Task tardiness;0;0;0;0;0;0;13;
